output_csv,duration,count,sequence_ids
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,1/16,28,"3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,20,22,23,25,27,28,29,31,32,33,35,36,38"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,1/12,1,37
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0.csv,1/8,8,"0,1,2,17,21,26,30,34"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0_fourstep.csv,1/32,2,"12,24"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0_fourstep.csv,1/16,2,"13,31"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-0_fourstep.csv,1/8,1,1
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1.csv,1/32,1,14
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1.csv,1/24,1,25
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1.csv,1/16,20,"1,2,3,4,5,7,8,9,10,12,13,15,17,19,20,22,23,27,28,29"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1.csv,1/12,2,"24,26"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1.csv,1/8,6,"0,6,11,16,18,21"
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1_fourstep.csv,1/32,1,14
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1_fourstep.csv,1/24,1,25
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1_fourstep.csv,1/16,1,7
output/5255_04_stabat_mater_dolorosa_desprez-2/voices/5255_04_stabat_mater_dolorosa_desprez-2_voice-1_fourstep.csv,1/8,1,18
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged.csv,1/32,5,"16,21,44,56,85"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged.csv,1/24,1,96
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged.csv,1/16,66,"1,4,7,9,12,14,15,17,18,20,22,25,26,27,28,29,30,31,35,36,37,38,39,40,41,42,43,45,46,47,48,50,51,52,54,55,57,59,60,61,63,64,65,67,68,70,72,73,74,75,76,78,79,80,81,83,84,86,88,90,91,93,94,98,99,100"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged.csv,1/12,3,"69,95,97"
output/5255_04_stabat_mater_dolorosa_desprez-2/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged.csv,1/8,26,"0,2,3,5,6,8,10,11,13,19,23,24,32,33,34,49,53,58,62,66,71,77,82,87,89,92"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged_fourstep.csv,1/32,5,"16,21,44,56,85"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged_fourstep.csv,1/24,1,96
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged_fourstep.csv,1/16,3,"45,63,78"
output/5255_04_stabat_mater_dolorosa_desprez-2/fourstep/5255_04_stabat_mater_dolorosa_desprez-2_voices_merged_fourstep.csv,1/8,3,"6,33,89"
