note;pitch;duration;onset;chord;voice;category;voice_tab;sequence_id;is_context;four_step_comment
35;66;1/8;11/4;29;1;match;1;5;True;[non_monotonic]
36;69;1/8;11/4;29;0;repetition;0;5;True;[non_monotonic]
37;67;1/32;23/8;30;1;adaptation;0;5;False;[non_monotonic]
38;66;1/32;93/32;31;1;ornamentation;0;5;False;[non_monotonic]
39;64;1/32;47/16;32;1;ornamentation;0;5;False;[non_monotonic]
40;66;1/32;95/32;33;1;ornamentation;0;5;False;[non_monotonic]
41;67;1/8;3;34;1;match;1;5;True;[non_monotonic]
42;67;1/8;3;34;0;match;0;5;True;[non_monotonic]
60;67;1/8;9/2;46;1;repetition;1;7;True;[non_monotonic]
61;69;1/8;9/2;46;0;match;0;7;True;[non_monotonic]
62;66;1/16;37/8;47;1;match;0;7;False;[non_monotonic]
63;64;1/16;75/16;48;1;ornamentation;0;7;False;[non_monotonic]
64;66;1/16;19/4;49;1;match;0;7;False;[non_monotonic]
65;67;1/16;77/16;50;0;ornamentation;0;7;False;[non_monotonic]
66;69;1/32;39/8;51;0;repetition;0;7;True;[non_monotonic]
98;60;1/8;15/2;79;1;repetition;1;12;True;[non_monotonic]
99;69;1/8;15/2;79;0;repetition;0;12;True;[non_monotonic]
100;71;1/32;61/8;80;0;ornamentation;0;12;False;[non_monotonic]
101;69;1/32;245/32;81;0;ornamentation;0;12;False;[non_monotonic]
102;67;1/32;123/16;82;0;ornamentation;0;12;False;[non_monotonic]
103;69;1/32;247/32;83;0;ornamentation;0;12;False;[non_monotonic]
104;59;1/8;31/4;84;1;match;1;12;True;[non_monotonic]
105;71;1/8;31/4;84;0;match;0;12;True;[non_monotonic]
117;66;1/16;141/16;94;0;ornamentation;0;15;True;[non_monotonic]
118;67;1/32;71/8;95;0;adaptation;0;15;False;[non_monotonic]
119;66;1/32;285/32;96;0;ornamentation;0;15;False;[non_monotonic]
120;64;1/32;143/16;97;0;ornamentation;0;15;False;[non_monotonic]
121;66;1/32;287/32;98;0;ornamentation;0;15;False;[non_monotonic]
122;55;1/8;9;99;1;match;1;15;True;[non_monotonic]
123;67;1/8;9;99;0;match;0;15;True;[non_monotonic]
137;69;1/8;10;113;0;match;0;19;True;[non_monotonic]
138;67;1/16;81/8;114;0;ornamentation;0;19;False;[non_monotonic]
139;69;1/16;163/16;115;0;ornamentation;0;19;False;[non_monotonic]
140;71;1/16;41/4;116;0;ornamentation;0;19;False;[non_monotonic]
141;69;1/16;165/16;117;0;ornamentation;0;19;False;[non_monotonic]
142;71;1/32;83/8;118;0;ornamentation;0;19;True;[non_monotonic]
