output_csv,duration,count,sequence_ids
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-5.csv,1/8,3,"1,4,6"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-5_fourstep.csv,1/32,1,9
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-5_fourstep.csv,1/16,2,"0,3"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-2.csv,1/32,1,12
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-2.csv,1/16,10,"0,1,2,5,6,8,9,10,11,15"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-2.csv,1/8,5,"3,4,7,13,14"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-2_fourstep.csv,1/32,1,12
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-2_fourstep.csv,1/16,2,"8,15"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-0.csv,1/32,2,"7,16"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-0.csv,1/16,10,"0,1,2,3,5,6,9,11,13,15"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-0.csv,1/8,7,"4,8,10,12,14,17,18"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-0_fourstep.csv,1/32,2,"7,16"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-1.csv,1/32,5,"6,9,10,11,18"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-1.csv,1/16,10,"0,2,5,7,8,13,14,15,16,17"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-1.csv,1/8,4,"1,3,4,12"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-1_fourstep.csv,1/32,5,"6,9,10,11,18"
output/5253_02_praeter_rerum_seriem_desprez-1/voices/5253_02_praeter_rerum_seriem_desprez-1_voice-1_fourstep.csv,1/16,1,7
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_voices_merged.csv,1/32,13,"13,16,21,30,47,60,71,80,89,92,93,94,101"
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_voices_merged.csv,1/16,60,"1,2,3,6,8,9,10,11,12,14,15,18,19,20,22,23,24,25,27,29,34,35,36,37,38,40,41,43,45,46,48,49,50,53,54,56,57,58,59,63,64,65,66,67,69,70,73,75,77,79,83,85,88,90,91,96,97,98,99,100"
output/5253_02_praeter_rerum_seriem_desprez-1/5253_02_praeter_rerum_seriem_desprez-1_voices_merged.csv,1/8,29,"0,4,5,7,17,26,28,31,32,33,39,42,44,51,52,55,61,62,68,72,74,76,78,81,82,84,86,87,95"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_voices_merged_fourstep.csv,1/32,13,"13,16,21,30,47,60,71,80,89,92,93,94,101"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_voices_merged_fourstep.csv,1/16,6,"27,38,41,56,63,90"
output/5253_02_praeter_rerum_seriem_desprez-1/fourstep/5253_02_praeter_rerum_seriem_desprez-1_voices_merged_fourstep.csv,1/8,2,"5,32"
